Dt,Vb
0.0001,0.001
0.0035,203.77
0.007,391.34
0.0105,556.91
0.014,707.64
0.0175,848.34
0.021,983.89
0.0245,1117
0.028,1219.17
0.0315,1303.69
0.035,1376.84
0.0385,1444.14
0.042,1498.97
0.0455,1538.33
0.049,1575.41
0.0525,1605.14
0.056,1630.31
0.0595,1651.08
0.063,1662.99
0.0665,1675.97
0.07,1689.33
0.0735,1695.64
0.077,1699.84
0.0805,1702.54
0.084,1704.35
0.0875,1704.03
0.091,1701.39
0.0945,1698.64
0.098,1695.33
0.1015,1691.86
0.105,1687.9
0.1085,1684.5
0.112,1680.65
0.1155,1675.85
0.119,1670.07
0.1225,1661.36
0.126,1652.03
0.1295,1643.66
0.133,1637.19
0.1365,1630.67
0.14,1623.13
0.1435,1614.54
0.147,1605.24
0.1505,1594.4
0.154,1585.46
0.1575,1577.22
0.161,1569.46
0.1645,1562.36
0.168,1555.15
0.1715,1547.43
0.175,1539.5
0.1785,1532.43
0.182,1524.96
0.1855,1517.39
0.189,1509.87
0.1925,1501.81
0.196,1492.68
0.1995,1481.31
0.203,1470.04
0.2065,1459.59
0.21,1450.26
0.2135,1441.81
0.217,1434.11
0.2205,1426.66
0.224,1418.87
0.2275,1411.23
0.231,1403.22
0.2345,1394.73
0.238,1386.04
0.2415,1376.6
0.245,1368.34
0.2485,1360.81
0.252,1352.55
0.2555,1344.55
0.259,1336.66
0.2625,1329.36
0.266,1321.81
0.2695,1314.58
0.273,1306.42
0.2765,1299.43
0.28,1293.21
0.2835,1286.68
0.287,1280.24
0.2905,1273.71
0.294,1267.33
0.2975,1260.97
0.301,1254.44
0.3045,1248.07
0.308,1241.53
0.3115,1235.12
0.315,1228.15
0.3185,1221.38
0.322,1214.82
0.3255,1208.51
0.329,1202.2
0.3325,1196.25
0.336,1190.41
0.3395,1184.42
0.343,1178.52
0.3465,1172.22
0.35,1166.3
